species,file,sequence,start,end,strand,gene,coverage,coverage_map,gaps,coverage_pec,identity_perc,database,accession,product,resistance,record
E. coli 456A,genome50.fasta,NODE_20_length_74350_cov_6.585783,29000,30232,-,mdtM,1-1233/1233,===============,0/0,100.0,98.05,card,U00096.3:4568519-4567286,Multidrug resistance protein MdtM,acridine_dye;fluoroquinolone;lincosamide;nucleoside;phenicol,456A
E. coli 456A,genome50.fasta,NODE_23_length_67899_cov_6.309838,15184,16827,-,yojI,1-1644/1644,===============,0/0,100.0,97.93,card,U00096.3:2308615-2306971,YojI mediates resistance to the peptide antibiotic microcin J25 when it is expressed from a multicopy vector. YojI is capable of pumping out microcin molecules.  The outer membrane protein TolC in addition to YojI is required for export of microcin J25 out of the cell. Microcin J25 is thus the first known substrate for YojI.,peptide,456A
E. coli 456A,genome50.fasta,NODE_25_length_59823_cov_6.329767,6556,8304,+,msbA,1-1749/1749,===============,0/0,100.0,99.03,card,U00096.3:966620-968369,MsbA is a multidrug resistance transporter homolog from E. coli and belongs to a superfamily of transporters that contain an adenosine triphosphate (ATP) binding cassette (ABC) which is also called a nucleotide-binding domain (NBD). MsbA is a member of the MDR-ABC transporter group by sequence homology. MsbA transports lipid A a major component of the bacterial outer cell membrane and is the only bacterial ABC transporter that is essential for cell viability.,nitroimidazole,456A
E. coli 456A,genome50.fasta,NODE_28_length_54735_cov_5.482649,30750,31133,+,marA,1-384/384,===============,0/0,100.0,99.74,card,AP009048.1:1621287-1621671,In the presence of antibiotic stress E. coli overexpresses the global activator protein MarA which besides inducing MDR efflux pump AcrAB also down- regulates synthesis of the porin OmpF.,carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;monobactam;penam;penem;phenicol;rifamycin;tetracycline;triclosan,456A
E. coli 456A,genome50.fasta,NODE_30_length_51023_cov_6.006382,25852,27156,-,Escherichia_coli_ampC1_beta-lactamase,1-1305/1305,===============,0/0,100.0,96.4,card,FN649414.1:2765050-2766355,An ampC-like beta-lactamase identified from Escherichia coli.,cephalosporin;penam,456A
E. coli 456A,genome50.fasta,NODE_31_length_50730_cov_6.820683,15101,15733,+,CRP,1-633/633,===============,0/0,100.0,99.05,card,AP009048.1:4154296-4153663,CRP is a global regulator that represses MdtEF multidrug efflux pump expression.,fluoroquinolone;macrolide;penam,456A
E. coli 456A,genome50.fasta,NODE_33_length_45699_cov_6.159627,44242,45408,-,ugd,1-1167/1167,===============,0/0,100.0,96.14,card,U00096:2099613-2098446,PmrE is required for the synthesis and transfer of 4-amino-4-deoxy-L-arabinose (Ara4N) to Lipid A which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin,peptide,456A
E. coli 456A,genome50.fasta,NODE_3_length_158922_cov_6.304118,24662,25819,+,Escherichia_coli_ampH,1-1158/1158,===============,0/0,100.0,96.98,card,AP012030.1:396711-395553,AmpH is a class C ampC-like beta-lactamase and penicillin-binding protein identified in Escherichia coli.,cephalosporin;penam,456A
E. coli 456A,genome50.fasta,NODE_41_length_39656_cov_6.334934,755,2293,-,emrY,1-1539/1539,===============,0/0,100.0,97.73,card,D78168:1591-3130,emrY is a multidrug transport that moves substrates across the inner membrane of the Gram-negative E. coli. It is a homolog of emrB.,tetracycline,456A
E. coli 456A,genome50.fasta,NODE_41_length_39656_cov_6.334934,2293,3348,-,emrK,1-1056/1056,===============,0/0,100.0,98.3,card,D78168:536-1592,emrK is a membrane fusion protein that is a homolog of EmrA. Together with the inner membrane transporter EmrY and the outer membrane channel TolC it mediates multidrug efflux.,tetracycline,456A
E. coli 456A,genome50.fasta,NODE_41_length_39656_cov_6.334934,3872,4486,+,evgA,1-615/615,===============,0/0,100.0,99.51,card,BA000007.3:3212025-3212640,EvgA when phosphorylated is a positive regulator for efflux protein complexes emrKY and mdtEF. While usually phosphorylated in a EvgS dependent manner it can be phosphorylated in the absence of EvgS when overexpressed.,fluoroquinolone;macrolide;penam;tetracycline,456A
E. coli 456A,genome50.fasta,NODE_41_length_39656_cov_6.334934,4491,8084,+,evgS,1-3594/3594,===============,0/0,100.0,96.58,card,U00096:2484373-2487967,EvgS is a sensor protein that phosphorylates the regulatory protein EvgA. evgS corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.,fluoroquinolone;macrolide;penam;tetracycline,456A
E. coli 456A,genome50.fasta,NODE_43_length_38530_cov_6.207437,31439,31969,+,emrR,1-531/531,===============,0/0,100.0,99.44,card,U00096.3:2810769-2811300,EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.,fluoroquinolone,456A
E. coli 456A,genome50.fasta,NODE_43_length_38530_cov_6.207437,32096,33268,+,emrA,1-1173/1173,===============,0/0,100.0,97.95,card,AP009048:2810082-2811255,EmrA is a membrane fusion protein providing an efflux pathway with EmrB and TolC between the inner and outer membranes of E. coli a Gram-negative bacterium.,fluoroquinolone,456A
E. coli 456A,genome50.fasta,NODE_43_length_38530_cov_6.207437,33285,34823,+,emrB,1-1539/1539,===============,0/0,100.0,98.18,card,U00096:2812615-2814154,emrB is a translocase in the emrB -TolC efflux protein in E. coli. It recognizes substrates including carbonyl cyanide m-chlorophenylhydrazone (CCCP) nalidixic acid and thioloactomycin.,fluoroquinolone,456A
E. coli 456A,genome50.fasta,NODE_44_length_38187_cov_6.482829,14222,15709,+,tolC,1-1488/1488,===============,0/0,100.0,97.85,card,FJ768952:0-1488,TolC is a protein subunit of many multidrug efflux complexes in Gram negative bacteria. It is an outer membrane efflux protein and is constitutively open. Regulation of efflux activity is often at its periplasmic entrance by other components of the efflux complex.,aminocoumarin;aminoglycoside;carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;macrolide;penam;penem;peptide;phenicol;rifamycin;tetracycline;triclosan,456A
E. coli 456A,genome50.fasta,NODE_46_length_36355_cov_6.506096,2802,4175,+,cpxA,1-1374/1374,===============,0/0,100.0,98.76,card,BA000007.3:4905062-4903688,CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR which promotes efflux complex expression.,aminocoumarin;aminoglycoside,456A
E. coli 456A,genome50.fasta,NODE_4_length_145346_cov_6.158771,86928,88136,+,mdtH,1-1209/1209,===============,0/0,100.0,98.59,card,U00096:1125326-1124117,Multidrug resistance protein MdtH,fluoroquinolone,456A
E. coli 456A,genome50.fasta,NODE_4_length_145346_cov_6.158771,96767,97993,+,mdtG,1-1227/1227,===============,0/0,100.0,97.64,card,CP000800.1:1192954-1191727,The MdtG protein also named YceE appears to be a member of the major facilitator superfamily of transporters and it has been reported when overexpressed to increase fosfomycin and deoxycholate resistances. mdtG is a member of the marA-soxS-rob regulon.,fosfomycin,456A
E. coli 456A,genome50.fasta,NODE_52_length_30994_cov_6.133679,7966,8643,+,kdpE,1-678/678,===============,0/0,100.0,96.31,card,U00096.3:721733-721055,kdpE is a transcriptional activator that is part of the two-component system KdpD/KdpE that is studied for its regulatory role in potassium transport and has been identified as an adaptive regulator involved in the virulence and intracellular survival of pathogenic bacteria. kdpE regulates a range of virulence loci through direct promoter binding.,aminoglycoside,456A
E. coli 456A,genome50.fasta,NODE_59_length_27517_cov_6.355496,511,1335,+,gadX,1-825/825,===============,0/0,100.0,96.48,card,AP009048.1:3974604-3975429,GadX is an AraC-family regulator that promotes mdtEF expression to confer multidrug resistance.,fluoroquinolone;macrolide;penam,456A
E. coli 456A,genome50.fasta,NODE_59_length_27517_cov_6.355496,1704,2432,+,gadW,1-729/729,===============,0/0,100.0,95.61,card,CP015085.1:2552440-2551711,GadW is an AraC-family regulator that promotes mdtEF expression to confer multidrug resistance. GadW inhibits GadX-dependent activation. GadW clearly represses gadX and in situations where GadX is missing activates gadA and gadBC.,fluoroquinolone;macrolide;penam,456A
E. coli 456A,genome50.fasta,NODE_59_length_27517_cov_6.355496,2795,5908,-,mdtF,1-3114/3114,===============,0/0,100.0,98.27,card,U00096:3660413-3663527,MdtF is the multidrug inner membrane transporter for the MdtEF-TolC efflux complex.,fluoroquinolone;macrolide;penam,456A
E. coli 456A,genome50.fasta,NODE_59_length_27517_cov_6.355496,5933,7090,-,mdtE,1-1158/1158,===============,0/0,100.0,98.45,card,AP009048.1:3981183-3980025,MdtE is the membrane fusion protein of the MdtEF multidrug efflux complex. It shares 70% sequence similarity with AcrA.,fluoroquinolone;macrolide;penam,456A
E. coli 456A,genome50.fasta,NODE_5_length_136149_cov_5.923219,5087,5500,-,H-NS,1-414/414,===============,0/0,100.0,99.52,card,BA000007.3:1738104-1737690,H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE mdtE and emrK as well as nearby genes of many RND-type multidrug exporters.,cephalosporin;cephamycin;fluoroquinolone;macrolide;penam;tetracycline,456A
E. coli 456A,genome50.fasta,NODE_61_length_26199_cov_6.581494,19609,20271,-,acrS,1-663/663,===============,0/0,100.0,97.13,card,U00096:3413465-3412802,AcrS is a repressor of the AcrAB efflux complex and is associated with the expression of AcrEF. AcrS is believed to regulate a switch between AcrAB and AcrEF efflux.,cephalosporin;cephamycin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan,456A
E. coli 456A,genome50.fasta,NODE_61_length_26199_cov_6.581494,20670,21827,+,acrE,1-1158/1158,===============,0/0,100.0,97.5,card,U00096:3413863-3415021,AcrE is a membrane fusion protein similar to AcrA.,cephalosporin;cephamycin;fluoroquinolone;penam,456A
E. coli 456A,genome50.fasta,NODE_61_length_26199_cov_6.581494,21839,24943,+,acrF,1-3105/3105,===============,0/0,100.0,97.84,card,U00096:3415032-3418137,AcrF is a inner membrane transporter similar to AcrB.,cephalosporin;cephamycin;fluoroquinolone;penam,456A
E. coli 456A,genome50.fasta,NODE_6_length_129762_cov_6.264270,129063,129762,-,baeR,23-722/723,===============,0/0,96.82,97.0,card,AP009048.1:2166412-2167135,BaeR is a response regulator that promotes the expression of MdtABC and AcrD efflux complexes.,aminocoumarin;aminoglycoside,456A
E. coli 456A,genome50.fasta,NODE_7_length_124212_cov_5.938886,23167,23499,+,Escherichia_coli_emrE,1-333/333,===============,0/0,100.0,91.89,card,Z11877.1:485-818,Member of the small MDR (multidrug resistance) family of transporters; in Escherichia coli this protein provides resistance against a number of positively charged compounds including ethidium bromide and erythromycin; proton-dependent secondary transporter which exchanges protons for compound translocation,macrolide,456A
E. coli 456A,genome50.fasta,NODE_82_length_17808_cov_5.985939,9229,10197,+,pmrF,1-969/969,===============,0/0,100.0,98.04,card,U00096:2367070-2368039,PmrF is required for the synthesis and transfer of 4-amino-4-deoxy-L-arabinose (Ara4N) to Lipid A which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin. pmrF corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.,peptide,456A
E. coli 456A,genome50.fasta,NODE_97_length_11695_cov_6.247327,3162,6275,-,acrD,1-3114/3114,===============,0/0,100.0,99.04,card,AP009048.1:2586250-2589364,AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole and is regulated by baeRS and cpxAR.,aminoglycoside,456A
S. aureus 468A,genome33.fasta,NODE_12_length_91135_cov_14.896107,73520,74875,-,arlS,1-1356/1356,===============,0/0,100.0,99.93,card,CP000253.1:1361636-1360280,ArlS is a protein histidine kinase that phosphorylates ArlR a promoter for norA expression.,acridine_dye;fluoroquinolone,468A
S. aureus 468A,genome33.fasta,NODE_12_length_91135_cov_14.896107,74872,75531,-,arlR,1-660/660,===============,0/0,100.0,100.0,card,CP023390.1:1462248-1461588,ArlR is a response regulator that binds to the norA promoter to activate expression. ArlR must first be phosphorylated by ArlS.,acridine_dye;fluoroquinolone,468A
S. aureus 468A,genome33.fasta,NODE_22_length_20651_cov_20.222947,17490,18932,+,Staphylococcys_aureus_LmrS,1-1443/1443,===============,0/0,100.0,99.93,card,CP000046.1:2236817-2235374,MFS transporters are secondary active transporters with single-polypeptide chains containing 400-600 amino acids that transport small solutes across the membrane by using electrochemical gradients. LmrS has 14 transmembrane helices and when expressed in E. coli is capable of extruding a variety of antibiotics inclinding linezolid trimethoprim florfenicol chlorampheniocol erythromycin streptomycin kanamycin and fusidic acid,aminoglycoside;diaminopyrimidine;macrolide;oxazolidinone;phenicol,468A
S. aureus 468A,genome33.fasta,NODE_2_length_217598_cov_19.485952,16000,17352,-,tet(38),1-1353/1353,===============,0/0,100.0,99.85,card,AY825285:0-1353,Tet38 is a tetracycline efflux pump found in the Gram-positive Staphylococcus aureus. It is regulated by mgrA which also regulates NorB.,tetracycline,468A
S. aureus 468A,genome33.fasta,NODE_4_length_185780_cov_16.745655,133407,133826,+,Staphylococcus_aureus_FosB,1-420/420,===============,0/0,100.0,99.76,card,AHLO01000073.1:63138-63558,The Bacillus subtilis fosB gene encodes a fosfomycin resistance protein,fosfomycin,468A
S. aureus 468A,genome33.fasta,NODE_5_length_184881_cov_20.033997,112421,113266,-,PC1_beta-lactamase_(blaZ),1-846/846,===============,0/0,100.0,96.93,card,CP000732.1:10528-9682,The blaZ beta-lactamase is found in Bacillus subtilis and Staphylococcus aureus.,penam,468A
S. aureus 468A,genome33.fasta,NODE_6_length_150933_cov_17.838021,64554,64973,+,mepR,1-420/420,===============,0/0,100.0,99.29,card,BA000017.4:379931-380351,MepR is an upstream repressor of MepA in Staphylococcus aureus. It is part of the mepRAB operon.,glycylcycline;tetracycline,468A
S. aureus 468A,genome33.fasta,NODE_6_length_150933_cov_17.838021,65080,66435,+,mepA,1-1356/1356,===============,0/0,100.0,100.0,card,AY661734.1:839-2195,MepA is an efflux protein regulated by MepR and part of the MepRAB cluster. Its presence in Staphylococcus aureus led to multidrug resistance while it has also been shown to decrease tigecycline susceptibility.,glycylcycline;tetracycline,468A
S. aureus 468A,genome33.fasta,NODE_7_length_143150_cov_14.523478,55132,55575,-,mgrA,1-444/444,===============,0/0,100.0,99.78,card,BA000018.3:735860-735416,MgrA also known as NorR is a regulator for norA norB and tet38. It is a positive regulator for norA expression but is a direct repressor for norB and an indirect repressor of tet38.,acridine_dye;cephalosporin;fluoroquinolone;penam;peptide;tetracycline,468A
S. aureus 468A,genome33.fasta,NODE_7_length_143150_cov_14.523478,63226,64392,+,Staphylococcus_aureus_norA,1-1167/1167,===============,0/0,100.0,99.91,card,D90119.1:477-1644,NorA gene cloned from Staphylococcus aureus conferred relatively high resistance to hydrophilic quinolones such as norfloxacin enoxacin ofloxacin and ciprofloxacin in S. aureus and Escherichia coli. Had low or no resistance at all to hydrophobic ones such as nalidixic acid oxolinic acid and sparfloxacin in S. aureus and Escherichia coli.,fluoroquinolone,468A
S. maltophilia 685B,genome21.fasta,NODE_29_length_60270_cov_8.558541,51562,52746,+,smeD,1-1185/1185,===============,0/0,100.0,96.2,card,AJ252200:81-1266,smeD is the membrane fusion protein of the smeDEF multidrug efflux complex in Stenotrophomonas maltophilia,fluoroquinolone;macrolide;phenicol;tetracycline,685B
S. maltophilia 685B,genome21.fasta,NODE_29_length_60270_cov_8.558541,52759,55881,+,smeE,1-3123/3123,===============,0/0,100.0,96.13,card,AJ252200:1278-4401,smeE is the RND protein of the efflux complex smeDEF in Stenotrophomonas maltophilia,fluoroquinolone;macrolide;phenicol;tetracycline,685B
S. maltophilia 685B,genome21.fasta,NODE_29_length_60270_cov_8.558541,55992,57391,+,smeF,1-1401/1401,========/======,1/1,99.93,92.29,card,AJ252200:4493-5894,smeF is an outer membrane multidrug efflux protein of the smeDEF complex in Stenotrophomonas maltophilia,fluoroquinolone;macrolide;phenicol;tetracycline,685B
S. maltophilia 685B,genome21.fasta,NODE_53_length_17014_cov_10.121194,8964,9648,-,smeR,4-688/690,===============,0/0,99.28,90.36,card,AF173226.1:1041-351,smeR is the responder component of a two component signal transduction system that includes smeS,aminoglycoside;cephalosporin;cephamycin;penam,685B
S. maltophilia 685B,genome21.fasta,NODE_53_length_17014_cov_10.121194,9663,11066,-,smeS,1-1404/1404,===============,0/0,100.0,90.6,card,AF173226:2441-1037,smeS is the protein kinase sensor component of a two component signal transduction system that includes smeR,aminoglycoside;cephalosporin;cephamycin;penam,685B
S. maltophilia 685B,genome21.fasta,NODE_53_length_17014_cov_10.121194,11183,12379,+,smeA,1-1197/1197,========/======,2/2,99.92,90.23,card,AF173226:2558-3755,smeA is the membrane fusion protein of the smeABC multidrug efflux complex in Stenotrophomonas maltophilia,aminoglycoside;cephalosporin;cephamycin;penam,685B
S. maltophilia 685B,genome21.fasta,NODE_53_length_17014_cov_10.121194,12392,15541,+,smeB,1-3150/3150,===============,0/0,100.0,94.48,card,AF173226:3767-6917,smeB is the inner membrane multidrug exporter of the efflux complex smeABC in Stenotrophomonas maltophilia,aminoglycoside;cephalosporin;cephamycin;penam,685B
S. maltophilia 685B,genome21.fasta,NODE_53_length_17014_cov_10.121194,15538,16953,+,smeC,1-1416/1416,===============,0/0,100.0,90.54,card,AF173226:6913-8329,smeC is an outer membrane multidrug efflux protein of the smeABC complex in Stenotrophomonas maltophilia,aminoglycoside;cephalosporin;cephamycin;penam,685B
S. maltophilia 685B,genome21.fasta,NODE_5_length_224887_cov_6.796297,64154,64957,-,L1_beta-lactamase,73-876/888,.=======/======,2/4,90.32,80.77,card,AJ272109:0-888,L1 is an Ambler class B MBL; subclass B3 originally isolated from Stenotrophomonas maltophilia.  It has activity against a broad range of beta-lactams and is only active with two Zn(II) ions in the active site.,cephalosporin,685B
S. maltophilia 685B,genome21.fasta,NODE_6_length_179265_cov_7.041386,51276,52048,+,APH(3')-IIc,32-804/804,========/======,2/2,96.02,80.36,card,HQ424460:1-805,APH(3')-IIc is a chromosomal-encoded aminoglycoside phosphotransferase in S. maltophilia,aminoglycoside,685B
S. capitis 732B,genome22.fasta,NODE_1_length_453597_cov_39.847135,67994,68436,-,mgrA,1-443/444,===============,0/0,99.77,88.04,card,BA000018.3:735860-735416,MgrA also known as NorR is a regulator for norA norB and tet38. It is a positive regulator for norA expression but is a direct repressor for norB and an indirect repressor of tet38.,acridine_dye;cephalosporin;fluoroquinolone;penam;peptide;tetracycline,732B
S. capitis 732B,genome22.fasta,NODE_1_length_453597_cov_39.847135,76035,77164,+,norA,1-1130/1164,===============,0/0,97.08,80.27,card,AY566250:391-1555,NorA is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like acriflavine. It shares 30% similarity with NorA and is a structural homolog of Bmr of Bacillus subtilis. It is regulated by arlRS and mgrA the latter also known as NorR.,acridine_dye;fluoroquinolone,732B
S. capitis 732B,genome22.fasta,NODE_27_length_10506_cov_41.427597,415,1260,-,PC1_beta-lactamase_(blaZ),1-846/846,===============,0/0,100.0,96.45,card,CP000732.1:10528-9682,The blaZ beta-lactamase is found in Bacillus subtilis and Staphylococcus aureus.,penam,732B
S. capitis 732B,genome22.fasta,NODE_32_length_4478_cov_34.947248,1665,3671,-,mecA,1-2007/2007,===============,0/0,100.0,99.85,card,KC243783:0-2007,A foreign PBP2a acquired by lateral gene transfer that able to perform peptidoglycan synthesis in the presence of beta-lactams.,penam,732B
S. capitis 732B,genome22.fasta,NODE_33_length_4302_cov_1.662860,3542,4287,-,ErmB,1-747/747,========/======,1/1,99.87,99.33,card,AF242872.1:2131-2878,ErmB confers the MLSb phenotype. Similar to ErmC expression of ErmB is inducible by erythromycin. The leader peptide causes attenuation of the mRNA and stabilizes the structure preventing further translation. When erythromycin is present it binds the leader peptide causing a change in conformation allowing for the expression of ErmB.,lincosamide;macrolide;streptogramin,732B
S. capitis 732B,genome22.fasta,NODE_43_length_2345_cov_2403.472395,883,1617,-,ErmC,1-735/735,===============,0/0,100.0,99.86,card,M12730:779-1514,ErmC is a methyltransferase that catalyzes the methylation of A2058 of the 23S ribosomal RNA in two steps. Expression of ErmC is inducible by erythromycin. The leader peptide causes attenuation of the mRNA and stabilizes the structure preventing further translation. When erythromycin is present it binds the leader peptide causing a change in conformation allowing for the expression of ErmC.,lincosamide;macrolide;streptogramin,732B
S. capitis 732B,genome22.fasta,NODE_45_length_2113_cov_17.861470,497,1936,+,AAC(6')-Ie-APH(2'')-Ia,1-1440/1440,===============,0/0,100.0,99.93,card,GU565967.1:26419-24979,AAC(6')-Ie-APH(2'')-Ia is an aminoglycoside acetyltransferase encoded by plasmids and transposons in S. aureus E. faecalis E. faecium and Staphylococcus warneri,aminoglycoside,732B
M. morganii 538A,genome40.fasta,NODE_15_length_87215_cov_6.179508,53851,54726,-,CTX-M-15,1-876/876,===============,0/0,100.0,100.0,card,AY044436:1435-2311,CTX-M-15 is a beta-lactamase found in the Enterobacteriaceae family,cephalosporin,538A
M. morganii 538A,genome40.fasta,NODE_27_length_26991_cov_7.089506,5763,6395,-,CRP,1-633/633,===============,0/0,100.0,82.31,card,AP009048.1:4154296-4153663,CRP is a global regulator that represses MdtEF multidrug efflux pump expression.,fluoroquinolone;macrolide;penam,538A
M. morganii 538A,genome40.fasta,NODE_40_length_14359_cov_7.162903,1388,2227,-,sul1,1-840/840,===============,0/0,100.0,100.0,card,JF969163:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.,sulfonamide,538A
M. morganii 538A,genome40.fasta,NODE_40_length_14359_cov_7.162903,2605,3168,-,dfrA10,1-564/564,===============,0/0,100.0,100.0,card,KF976462:111558-112122,dfrA10 is an integron-encoded dihydrofolate reductase found in Klebsiella pneumoniae,diaminopyrimidine,538A
M. morganii 538A,genome40.fasta,NODE_40_length_14359_cov_7.162903,5496,6335,-,sul1,1-840/840,===============,0/0,100.0,100.0,card,JF969163:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.,sulfonamide,538A
M. morganii 538A,genome40.fasta,NODE_40_length_14359_cov_7.162903,6833,7366,-,ANT(2'')-Ia,1-534/534,===============,0/0,100.0,100.0,card,AF078527:3769-4303,Plasmid or integron-encoded nucleotidylylation of 2-deoxystreptamine aminoglycosides at the hydroxyl group at position 2'' in P. aeruginosa K. pneumoniae Morganella morganii E. coli S. typhimurium C. freundii and A. baumannii,aminoglycoside,538A
M. morganii 538A,genome40.fasta,NODE_40_length_14359_cov_7.162903,13378,14037,-,catI,1-660/660,===============,0/0,100.0,99.85,card,V00622:243-903,catI is a chromosome and transposon-encoded variant of the cat gene found in Escherichia coli and Acinetobacter baumannii,phenicol,538A
M. morganii 538A,genome40.fasta,NODE_48_length_4280_cov_7.240851,1773,2978,+,tet(B),1-1206/1206,===============,0/0,100.0,99.75,card,AB089595:0-1206,Tet(B) is a tetracycline efflux protein expressed in many Gram-negative bacteria. It confers resistance to tetracycline doxycycline and minocycline but not tigecycline.,tetracycline,538A
M. morganii 538A,genome40.fasta,NODE_51_length_2906_cov_7.795155,146,745,+,AAC(6')-Ib-cr,1-600/600,===============,0/0,100.0,100.0,card,DQ303918:0-600,AAC(6')-Ib-cr is an aminoglycoside acetyltransferase encoded by plasmids transposons integrons in Enterobacteriaceae. The aac(6')-Ib-cr variant gene can induce resistance against aminoglycoside and fluoroquinolone simultaneously,aminoglycoside;fluoroquinolone,538A
M. morganii 538A,genome40.fasta,NODE_51_length_2906_cov_7.795155,876,1706,+,OXA-1,1-831/831,===============,0/0,100.0,100.0,card,JN420336.1:2230-1399,OXA-1 is a beta-lactamase found in E. coli,cephalosporin;penam,538A
M. morganii 538A,genome40.fasta,NODE_51_length_2906_cov_7.795155,1844,2476,+,catB3,1-633/633,===============,0/0,100.0,100.0,card,JX101693.1:58200-58833,catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium Acinetobacter baumannii and Escherichia coli,phenicol,538A
M. morganii 538A,genome40.fasta,NODE_59_length_1239_cov_7.561404,239,1052,-,APH(3')-Ia,1-814/816,===============,0/0,99.75,99.39,card,BX664015.1:103833-103017,APH(3')-Ia is a transposon-encoded aminoglycoside phosphotransferase in E. coli and S. enterica. It is identical at the protein sequence to APH(3')-Ic an aminoglycoside phosphotransferase encoded by plasmids transposons and genomic islands in K. pneumoniae A. baumannii S. marcescens Corynebacterium spp. Photobacterium spp. and Citrobacter spp.,aminoglycoside,538A
M. morganii 538A,genome40.fasta,NODE_6_length_238953_cov_6.622376,118469,119608,-,DHA-13,1-1140/1140,===============,0/0,100.0,100.0,card,KM087855:0-1140,DHA-13 is a beta-lactamase. From the Lahey list of DHA beta-lactamases.,cephalosporin;cephamycin,538A
K. pneumoniae 764A,genome24.fasta,NODE_10_length_161147_cov_8.147080,12344,13204,-,SHV-106,1-861/861,===============,0/0,100.0,99.88,card,AM941847:0-861,SHV-106 is an extended-spectrum beta-lactamase that has been found in clinical isolates.,carbapenem;cephalosporin;penam,764A
K. pneumoniae 764A,genome24.fasta,NODE_10_length_161147_cov_8.147080,33308,33676,-,marA,1-369/384,===============,0/0,96.09,81.3,card,AP009048.1:1621287-1621671,In the presence of antibiotic stress E. coli overexpresses the global activator protein MarA which besides inducing MDR efflux pump AcrAB also down- regulates synthesis of the porin OmpF.,carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;monobactam;penam;penem;phenicol;rifamycin;tetracycline;triclosan,764A
K. pneumoniae 764A,genome24.fasta,NODE_11_length_159296_cov_8.705195,30761,31936,+,oqxA,1-1176/1176,===============,0/0,100.0,99.23,card,EU370913.1:46651-47827,RND efflux pump conferring resistance to fluoroquinolone,diaminopyrimidine;fluoroquinolone;glycylcycline;nitrofuran;tetracycline,764A
K. pneumoniae 764A,genome24.fasta,NODE_11_length_159296_cov_8.705195,31960,35112,+,oqxB,1-3153/3153,===============,0/0,100.0,98.86,card,EU370913.1:47850-51003,RND efflux pump conferring resistance to fluoroquinolone,diaminopyrimidine;fluoroquinolone;glycylcycline;nitrofuran;tetracycline,764A
K. pneumoniae 764A,genome24.fasta,NODE_11_length_159296_cov_8.705195,79384,79893,+,emrR,1-510/531,===============,0/0,96.05,83.14,card,U00096.3:2810769-2811300,EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.,fluoroquinolone,764A
K. pneumoniae 764A,genome24.fasta,NODE_11_length_159296_cov_8.705195,80040,81212,+,Klebsiella_pneumoniae_KpnG,1-1173/1173,===============,0/0,100.0,99.32,card,ACWO01000051.1:22092-23265,KpnG consists of ~390 residues and resembles EmrA of E. coli. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin ceftazidime ciprofloxacin ertapenem erythromycin gentamicin imipenem ticarcillin norfloxacin polymyxin-B piperacillin spectinomycin tobramycin and streptomycin,aminoglycoside;carbapenem;cephalosporin;fluoroquinolone;macrolide;penam;penem;peptide,764A
K. pneumoniae 764A,genome24.fasta,NODE_11_length_159296_cov_8.705195,81228,82765,+,Klebsiella_pneumoniae_KpnH,1-1538/1539,========/======,2/2,99.87,84.34,card,ASTU01000063.1:61248-62787,KpnH consists of ~511 residues resembles EmrB of E. coli and is probably a translocase in the KpnGH-TolC efflux protein in K. pneumoniae. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin ceftazidime ciprofloxacin ertapenem erythromycin gentamicin imipenem ticarcillin norfloxacin polymyxin-B piperacillin spectinomycin tobramycin and streptomycin.,aminoglycoside;carbapenem;cephalosporin;fluoroquinolone;macrolide;penam;penem;peptide,764A
K. pneumoniae 764A,genome24.fasta,NODE_17_length_105303_cov_9.765056,15251,15883,+,CRP,1-633/633,===============,0/0,100.0,87.84,card,AP009048.1:4154296-4153663,CRP is a global regulator that represses MdtEF multidrug efflux pump expression.,fluoroquinolone;macrolide;penam,764A
